Gene,HGNC,brain_logFC,muscle_log2FC,muscle_t,muscle_p,muscle_detectable_samples,muscle_detectable,muscle_FDR
ENSG00000142684,ZNF593,2.61654110349755,-0.0161642510894644,-0.1826271277120537,0.856765938931988,1,False,0.9943837959839895
ENSG00000105583,WDR83OS,3.93558992705428,-0.1168389582842746,-2.0773552229584324,0.049734140129271236,24,True,0.33922658947723433
ENSG00000011052,NME1-NME2,3.41137200189644,-0.05063607751538373,-1.4759872524177853,0.15879589648475886,0,False,0.5279313034985542
ENSG00000255633,MTRNR2L9,2.96962663871455,-0.00012934928186611634,-0.015728957251663383,0.9875959163815068,0,False,0.9943837959839895
ENSG00000148671,ADIRF,3.72960344631995,0.0,,,0,False,
ENSG00000213402,PTPRCAP,2.33772226884351,0.0,,,0,False,
ENSG00000213689,TREX1,2.87108116945514,0.0,,,0,False,
ENSG00000187664,HAPLN4,1.46426523073519,0.0,,,0,False,
ENSG00000145029,NICN1,3.17930760263831,0.0004791374130466153,0.007123749438239351,0.9943837959839895,24,True,0.9943837959839895
ENSG00000213588,ZBTB9,2.60836231178387,0.0,,,0,False,
ENSG00000139574,NPFF,2.67570853849711,0.0,,,0,False,
ENSG00000215472,RPL17-C18orf32,2.20339177005211,-0.013081894771619506,-1.4245120728649658,0.182045277068467,0,False,0.5279313034985542
ENSG00000151079,KCNA6,3.50448179184646,0.0,,,0,False,
ENSG00000015568,RGPD5,1.90336766338475,-0.17501582197036125,-1.38575592089399,0.18039431954798998,24,True,0.5279313034985542
ENSG00000264058,KRT222,1.82325119344916,0.0,,,0,False,
ENSG00000178922,HYI,1.96704918817378,-0.23562107030182355,-1.9972907492159682,0.05848734301331627,24,True,0.33922658947723433
ENSG00000215126,CBWD6,1.53719241588264,-0.027752966913394683,-0.2621083544472246,0.7956893978968551,24,True,0.9943837959839895
ENSG00000177291,GJD4,0.945106437882796,-0.028712101735002608,-1.4036379849453793,0.17438697388065408,0,False,0.5279313034985542
ENSG00000254772,EEF1G,4.336922364756,0.0,,,0,False,
ENSG00000115194,SLC30A3,1.96210872075345,-0.07170593529731914,-1.3141064285847972,0.2033757647138269,0,False,0.53617247060918
ENSG00000183260,ABHD16B,1.22234485877341,0.0,,,0,False,
ENSG00000187094,CCK,1.53639426695293,0.037676314896426685,2.184283927999724,0.04865908497204723,0,False,0.33922658947723433
ENSG00000237651,C2orf74,1.24994185868612,0.2601569486801626,1.3925630623071088,0.1779699792853105,14,True,0.5279313034985542
ENSG00000254402,LRRC24,2.02763261836107,-0.00716636850772777,-0.5427088164051205,0.5954942029535435,0,False,0.8634665942826381
ENSG00000104888,SLC17A7,2.80073092387846,-0.00968318592767936,-0.07471911977815678,0.9411464800476338,23,True,0.9943837959839895
ENSG00000176020,AMIGO3,0.933760092350628,0.008886260315603087,0.5746160682658337,0.5726306248503251,0,False,0.8634665942826381
ENSG00000011083,SLC6A7,1.05629722316151,-0.01661074723169683,-0.5751795731963628,0.5734926269851587,0,False,0.8634665942826381
ENSG00000171532,NEUROD2,1.14668892916225,0.010798138738260007,0.455578826313611,0.6532508218620338,0,False,0.9021082778094752
ENSG00000204172,AGAP9,1.41367236239734,-0.15821648381374098,-1.1714775792834144,0.2539499889401593,24,True,0.6137124732720517
ENSG00000234857,HNRNPUL2,3.51530857145556,-0.19130060795674364,-2.1529969547518797,0.04990340245865651,24,True,0.33922658947723433
ENSG00000270181,BIVM-ERCC5,2.84251617313967,-0.008331248306435038,-0.6292505179497574,0.5356871933251738,0,False,0.8634665942826381
ENSG00000186891,TNFRSF18,0.930835882337993,0.026877121435297094,0.6091515420014669,0.5499608468261573,0,False,0.8634665942826381
ENSG00000162992,NEUROD1,1.49192358400472,0.0,,,0,False,
ENSG00000270800,RPS10-NUDT3,2.58840906148418,0.0,,,0,False,
ENSG00000260238,PMF1-BGLAP,1.71793205002515,0.06250172847409996,0.956201645288334,0.34962326180217856,0,False,0.6759383061508785
ENSG00000099977,DDT,1.68740219697625,0.015514723755117199,0.1367968232139031,0.8924390033661918,24,True,0.9943837959839895
ENSG00000164600,NEUROD6,1.81263528236765,0.0,,,0,False,
ENSG00000164082,GRM2,0.519947310038051,-0.013358161386909373,-0.06800809811289263,0.9463937146302931,10,True,0.9943837959839895
ENSG00000136535,TBR1,2.11870233689947,0.004242282628793146,1.0000000000000002,0.3388006961962015,0,False,0.6759383061508785
ENSG00000166947,EPB42,1.19008729589035,-0.015362683262231558,-0.412104600214755,0.6858928152638682,0,False,0.9041314383023719
ENSG00000125931,CITED1,1.07097542856338,-0.08277421168718502,-2.0650747633035373,0.05811843130091198,0,False,0.33922658947723433
ENSG00000141668,CBLN2,1.04949117633898,-0.0042031568043426415,-1.0000000000000002,0.3388006961962015,0,False,0.6759383061508785
