sample,group,library_total
M-M-01,Parkinson_disease,27842539.04
M-M-02,Old_adult,26365137.86
M-M-03,Young_adult,23762347.57
M-M-04,Parkinson_disease,24391205.21
M-M-06,Old_adult,25083439.93
M-M-07,Young_adult,14412798.790000001
M-M-08,Parkinson_disease,25480398.78
M-M-10,Old_adult,28106316.06
M-M-11,Young_adult,21406263.21
M-M-12,Parkinson_disease,29613104.46
M-M-14,Old_adult,24504264.909999996
M-M-15,Young_adult,28211161.42
M-M-16,Parkinson_disease,24746405.839999996
M-M-18,Old_adult,26950125.759999998
M-M-19,Young_adult,29698496.270000003
M-M-20,Parkinson_disease,26574456.520000003
M-M-22,Old_adult,24747217.18
M-M-23,Young_adult,21002748.29
M-M-24,Parkinson_disease,24409647.880000003
M-M-25,Old_adult,26869060.82
M-M-26,Young_adult,24701357.279999997
M-M-27,Parkinson_disease,21262602.91
M-M-28,Old_adult,18719038.79
M-M-29,Young_adult,23867369.85
M-M-30,Parkinson_disease,24970792.89
M-M-31,Old_adult,27073414.16
M-M-32,Young_adult,24315598.98
M-M-33,Parkinson_disease,27100046.42
M-M-34,Old_adult,25948766.250000004
M-M-35,Young_adult,29180261.08
M-M-36,Parkinson_disease,23361686.89
M-M-37,Old_adult,28075476.520000003
M-M-38,Young_adult,31736044.14
M-M-39,Parkinson_disease,28159954.88
M-M-40,Old_adult,26797553.5
M-M-41,Young_adult,25298042.229999997
