gene_id,mean_PD,mean_old_control,log2_fold_change,p_value,FDR,significant
ENSG00000196544.7,2.7900920943828376,3.01092109921877,-0.22082900483593226,0.00011233183380360359,0.5065503850457785,False
ENSG00000157985.18,4.500980482737301,4.7521828998335485,-0.25120241709624747,0.00015625937557696862,0.5065503850457785,False
ENSG00000172380.5,3.0286417699200943,3.451299216492439,-0.42265744657234494,0.00016822944970980273,0.5065503850457785,False
ENSG00000132003.9,1.4450165172369092,1.8452037795722145,-0.4001872623353053,0.0001972183794959901,0.5065503850457785,False
ENSG00000170248.13,4.883918203021907,5.280567257771869,-0.3966490547499619,0.00021679415257273358,0.5065503850457785,False
ENSG00000163879.10,0.8434170191276572,1.3224771911466051,-0.4790601720189479,0.0002315163899563971,0.5065503850457785,False
ENSG00000197016.11,1.1452184966568557,1.4869252538893678,-0.3417067572325121,0.00025750564236168847,0.5065503850457785,False
ENSG00000175662.17,6.5842740058932305,6.808347637133823,-0.22407363124059287,0.00034396682636703217,0.5082756710443377,False
ENSG00000140367.11,3.2889825931777117,3.913480515224348,-0.6244979220466362,0.00036005149956177325,0.5082756710443377,False
ENSG00000102871.15,1.5034634830745846,1.8209421071571243,-0.3174786240825398,0.0003691181343822351,0.5082756710443377,False
ENSG00000135365.15,4.094277914373984,4.272569539751598,-0.17829162537761434,0.0004283350361108781,0.5109280681352535,False
ENSG00000149823.7,5.97369266956902,6.125188609674473,-0.15149594010545364,0.0005365724757671888,0.5109280681352535,False
ENSG00000137802.13,3.5338378491080635,3.8503421684208217,-0.31650431931275813,0.0005501162573548386,0.5109280681352535,False
ENSG00000135828.11,1.5082253441705034,1.9326683799524742,-0.42444303578197085,0.0005980420282914567,0.5109280681352535,False
ENSG00000163479.13,4.314580403963647,4.484765021245707,-0.17018461728206002,0.0006436337812926988,0.5109280681352535,False
ENSG00000110107.8,4.930970820953193,5.118103841497271,-0.18713302054407777,0.000705529719313497,0.5109280681352535,False
ENSG00000025708.13,2.455354731111842,2.9369556603399456,-0.4816009292281036,0.0007282088104100079,0.5109280681352535,False
ENSG00000101337.15,4.701914364205866,4.890625193188838,-0.18871082898297242,0.0007667432384752785,0.5109280681352535,False
ENSG00000258056.2,1.9799102252285776,2.290058660944476,-0.31014843571589856,0.000847992928992192,0.5109280681352535,False
ENSG00000148297.15,3.327340741390825,3.567854199898763,-0.24051345850793782,0.0009310747174899054,0.5109280681352535,False
ENSG00000108784.9,2.1737479341047004,2.5872642789946387,-0.4135163448899384,0.0009923767405350232,0.5109280681352535,False
ENSG00000070601.9,2.088817861790233,2.9244881428621974,-0.8356702810719643,0.0010033433513536034,0.5109280681352535,False
